what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1485180754581
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1485180758077
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1485180760626
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.edit.text.openLocalFile",1485180760649
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.100.v201004290328,"org.eclipse.wst.xsl.debug.ui",1485180761157
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1485180767324
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1485180787352
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.import",1485180787360
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1485181282630
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1485181282770
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1485181301679
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1485181305451
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.edit.text.openLocalFile",1485181305472
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1485181308566
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1485181310847
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1485181311020
stopped,bundle,org.eclipse.compare.win32,1.0.100.I20100505-1245,"org.eclipse.compare.win32",1485181311771
stopped,bundle,org.eclipse.dltk.testing,1.0.0.v20090914-1703,"org.eclipse.dltk.testing",1485181311771
stopped,bundle,org.eclipse.php.server.ui,2.2.0.v20100616-1900,"org.eclipse.php.server.ui",1485181311771
stopped,bundle,org.eclipse.php.debug.ui,2.2.0.v20100616-1900,"org.eclipse.php.debug.ui",1485181311772
stopped,bundle,org.eclipse.dltk.debug.ui,2.0.0.v20100115-2213,"org.eclipse.dltk.debug.ui",1485181311773
stopped,bundle,org.eclipse.dltk.formatter,2.0.0.v20100304-1959,"org.eclipse.dltk.formatter",1485181311774
stopped,bundle,org.eclipse.dltk.rse.ui,2.0.0.v20100115-2213,"org.eclipse.dltk.rse.ui",1485181311774
stopped,bundle,org.eclipse.dltk.validators.externalchecker,1.0.0.v20090803-1754,"org.eclipse.dltk.validators.externalchecker",1485181311774
stopped,bundle,org.eclipse.dltk.validators.ui,2.0.0.v20091214-1712,"org.eclipse.dltk.validators.ui",1485181311774
stopped,bundle,org.eclipse.php.debug.core,2.2.0.v20100616-1900,"org.eclipse.php.debug.core",1485181311775
stopped,bundle,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui",1485181311815
stopped,bundle,org.eclipse.dltk.ui,2.0.0.v20100603-0936,"org.eclipse.dltk.ui",1485181311871
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1485181311872
